varietal,country,alcohol_pct,acidity,sweetness,tannin,body,complexity,persistence,rating,price_segment,aging_potential_years,aroma_red_fruit,aroma_black_fruit,aroma_floral,aroma_spice,aroma_wood,aroma_mineral,aroma_herbal,aroma_white_yellow_fruit
Nebbiolo,Chile,14.8,1,3,4,4,1,2,88.3,Entry,17,1,1,1,0,1,1,0,0
Torrontes,Germany,11.4,1,1,5,3,3,1,80.5,Icon,11,1,0,0,0,0,1,0,1
Malbec,Germany,12.9,4,5,5,5,4,5,85.6,Entry,7,1,1,0,1,0,0,1,0
Nebbiolo,Australia,11.2,4,2,2,2,4,1,88.2,Premium,5,0,0,1,1,1,0,0,0
Riesling,Italy,12.6,2,5,1,2,2,3,90.7,Premium,14,1,0,1,0,0,0,1,1
Cabernet Franc,Spain,13.9,5,2,5,3,2,1,92.5,Icon,3,0,0,0,0,0,1,0,0
Carmenere,Portugal,14.3,1,4,5,3,2,4,92.1,Ultra Premium,9,0,1,1,1,1,1,1,0
Cabernet Franc,Italy,14.9,1,3,2,3,1,4,87.1,Icon,7,1,1,1,0,0,1,0,1
Malbec,Argentina,15.3,3,5,2,4,2,4,80.1,Ultra Premium,11,0,0,1,1,0,1,1,1
Garnacha,Spain,13.6,1,4,1,5,2,5,84.1,Icon,3,0,0,1,1,0,1,1,1
Sauvignon Blanc,Italy,11.1,3,5,5,2,5,2,82.1,Premium,5,0,0,1,1,1,1,0,1
Carmenere,Spain,11.1,4,5,5,1,1,5,89.8,Premium,19,0,1,1,1,0,0,1,0
Carmenere,USA,12.5,4,5,4,3,4,3,83.0,Ultra Premium,3,0,0,1,0,1,0,0,0
Carmenere,Italy,15.0,1,2,3,5,5,4,95.3,Entry,4,1,0,0,1,0,0,1,0
Sauvignon Blanc,Chile,13.4,4,5,3,4,5,1,92.3,Entry,14,1,1,1,0,0,0,1,1
Garnacha,Spain,14.9,2,4,3,1,3,3,96.5,Ultra Premium,18,0,0,0,1,0,1,1,0
Semillon,Spain,14.6,3,1,4,5,1,1,95.2,Icon,8,0,0,1,0,0,0,0,1
Zinfandel,Australia,11.1,5,3,3,2,2,5,86.5,Premium,9,1,0,1,1,0,1,0,0
Cabernet Franc,Italy,11.9,2,1,3,1,4,1,91.4,Ultra Premium,5,0,1,1,0,1,1,0,0
Malbec,Spain,14.2,1,2,4,3,3,3,91.4,Entry,13,1,1,0,0,0,0,1,0
Garnacha,France,11.3,2,2,4,4,2,2,92.8,Icon,15,0,1,1,0,0,1,0,0
Sangiovese,Germany,12.8,3,5,5,1,1,1,83.9,Entry,19,0,0,0,0,1,0,0,0
Chardonnay,Spain,13.8,4,4,2,2,4,4,85.5,Ultra Premium,4,0,0,0,1,1,1,0,1
Sangiovese,France,11.6,2,3,1,4,1,1,80.0,Premium,18,1,1,1,0,0,1,1,1
Pinot Noir,Portugal,12.5,4,1,5,4,3,1,86.5,Ultra Premium,9,0,1,1,1,1,1,0,0
Semillon,Italy,15.1,4,3,5,1,2,2,90.2,Icon,10,0,0,0,0,0,0,0,1
Malbec,Germany,14.4,1,4,1,1,5,4,94.1,Icon,5,1,0,0,1,1,0,1,0
Torrontes,Italy,13.1,2,3,4,1,4,1,83.3,Entry,13,1,0,1,1,0,0,1,1
Sauvignon Blanc,Chile,15.0,1,4,5,5,5,2,87.1,Icon,7,1,1,0,1,1,1,1,1
Pinot Noir,Chile,11.9,4,5,4,3,3,5,81.0,Premium,10,0,1,0,0,1,1,0,0
Syrah,Chile,12.5,1,4,2,3,1,3,87.3,Entry,12,1,1,1,0,0,0,1,1
Tempranillo,Argentina,12.4,4,1,4,2,4,3,90.4,Premium,15,1,0,1,0,1,0,1,0
Malbec,Australia,13.3,4,1,4,3,5,4,89.9,Icon,15,0,0,1,0,1,0,0,0
Pinot Noir,Chile,11.7,3,5,1,5,2,2,88.7,Ultra Premium,12,1,1,1,1,0,0,0,1
Chenin Blanc,Chile,12.6,3,2,4,2,1,2,95.2,Ultra Premium,13,0,0,0,0,1,1,1,1
Zinfandel,Argentina,12.6,4,4,1,1,2,2,82.7,Entry,9,0,1,1,0,1,1,0,0
Cabernet Sauvignon,USA,15.3,2,2,5,3,5,4,96.2,Icon,1,0,1,0,0,1,0,0,0
Riesling,Chile,11.5,4,3,4,3,2,1,83.9,Entry,18,0,0,0,1,1,1,1,1
Tempranillo,Spain,14.7,5,3,5,2,1,3,87.1,Icon,2,1,0,1,0,1,1,1,0
Bonarda,Argentina,13.1,1,3,4,2,5,4,80.2,Premium,4,0,1,1,1,1,0,0,0
Chardonnay,Germany,14.8,3,5,3,1,5,3,96.1,Entry,10,1,0,1,1,0,0,1,1
Semillon,Argentina,11.2,5,1,3,4,4,5,80.6,Ultra Premium,17,0,0,1,1,0,1,0,1
Chenin Blanc,Spain,14.8,1,2,2,5,4,4,80.5,Ultra Premium,11,0,0,0,1,0,0,1,1
Cabernet Sauvignon,Germany,12.3,5,4,5,3,3,5,89.3,Premium,19,0,0,1,0,0,0,0,0
Pinot Noir,USA,12.9,4,2,4,2,4,5,90.6,Entry,16,0,1,0,1,1,1,0,0
Bonarda,Italy,13.3,3,3,5,4,2,5,93.9,Premium,4,0,1,0,0,0,0,1,0
Nebbiolo,USA,12.8,5,1,1,5,1,4,89.4,Entry,10,1,0,0,1,0,0,1,0
Cabernet Franc,Italy,11.2,4,4,4,3,4,1,95.3,Ultra Premium,18,1,1,0,0,1,0,0,0
Sangiovese,Portugal,12.7,3,4,5,5,1,3,87.5,Premium,10,1,0,1,0,1,0,0,0
Sauvignon Blanc,Chile,12.2,4,4,1,3,5,5,81.8,Entry,19,1,0,0,0,1,1,1,1
Zinfandel,Australia,13.1,1,2,5,1,1,2,94.5,Entry,9,0,1,1,1,1,0,0,0
Carmenere,Argentina,14.3,5,1,1,3,2,4,94.2,Icon,4,1,0,0,0,1,0,1,0
Sangiovese,Argentina,15.4,5,4,3,5,3,1,89.6,Icon,19,0,0,0,0,1,1,1,0
Nebbiolo,Italy,15.3,3,3,2,1,4,4,91.3,Premium,19,0,0,1,0,1,1,0,0
Cabernet Franc,France,14.7,3,3,2,4,4,1,89.9,Premium,11,0,0,1,0,1,0,0,0
Sangiovese,USA,11.3,3,1,2,1,3,5,81.3,Premium,15,0,1,0,0,1,1,0,0
Zinfandel,Australia,11.9,3,5,4,5,2,2,96.5,Icon,10,0,1,1,1,0,1,1,0
Torrontes,USA,11.9,4,1,1,3,1,4,81.3,Ultra Premium,10,1,0,0,1,1,1,1,1
Chardonnay,Chile,15.4,3,3,5,4,3,1,81.7,Icon,19,1,0,0,1,1,0,1,1
Cabernet Franc,Chile,12.1,2,1,1,1,3,4,84.5,Premium,4,0,0,1,0,1,0,0,0
Semillon,USA,11.9,4,2,1,5,4,1,80.3,Icon,7,0,0,1,0,0,1,1,1
Torrontes,Chile,15.4,1,2,2,3,2,3,96.0,Entry,15,0,1,0,0,0,0,1,1
Semillon,Germany,12.0,3,1,1,2,2,4,83.7,Ultra Premium,17,0,0,0,1,1,0,1,1
Malbec,Portugal,11.1,3,2,3,5,2,3,83.9,Entry,11,1,1,1,1,0,1,1,0
Tempranillo,Italy,13.2,5,3,2,1,3,3,93.9,Entry,9,0,1,0,0,0,0,1,0
Malbec,Chile,14.9,2,3,5,2,5,2,84.5,Icon,6,1,1,1,1,1,0,0,0
Zinfandel,France,14.7,3,2,1,5,4,5,88.5,Icon,4,1,0,0,0,0,1,1,1
Chenin Blanc,Portugal,12.2,5,5,5,1,2,4,92.0,Ultra Premium,3,0,0,1,0,0,1,0,1
Malbec,Spain,15.2,3,2,1,5,5,2,94.9,Entry,13,0,1,1,0,1,0,1,0
Sangiovese,Argentina,13.3,1,1,5,5,1,3,94.9,Ultra Premium,9,1,0,1,0,0,1,0,0
Garnacha,Italy,12.9,1,5,5,5,4,5,83.0,Icon,2,0,1,1,1,1,1,1,0
Malbec,Argentina,12.9,2,3,2,2,4,3,84.0,Entry,10,1,0,1,0,0,0,1,1
Semillon,Chile,12.0,4,3,5,1,1,1,89.7,Premium,8,0,1,0,0,1,1,0,1
Nebbiolo,Chile,13.6,5,5,1,5,5,5,87.9,Icon,17,0,0,0,1,0,0,0,0
Carmenere,Australia,12.9,1,1,3,1,3,5,87.3,Entry,11,1,1,1,1,0,1,1,0
Torrontes,Germany,14.4,5,1,1,3,4,3,85.1,Ultra Premium,14,0,0,0,1,0,0,0,1
Cabernet Franc,USA,12.8,1,2,3,2,4,1,93.4,Ultra Premium,17,0,1,1,0,0,1,0,0
Chardonnay,Italy,12.0,3,4,3,4,4,3,91.8,Ultra Premium,11,1,1,1,0,0,1,0,1
Cabernet Sauvignon,Germany,13.5,1,4,1,2,2,5,89.4,Premium,7,1,1,1,0,0,0,0,1
Riesling,Australia,14.0,4,5,2,1,3,5,91.8,Icon,10,0,0,1,1,1,1,1,1
Nebbiolo,Chile,12.7,3,1,5,3,2,4,93.0,Ultra Premium,15,1,0,1,1,1,1,0,0
Chenin Blanc,Argentina,12.2,1,3,3,5,1,5,94.9,Entry,14,0,0,1,0,1,1,0,1
Zinfandel,Spain,13.1,4,2,5,4,4,1,87.8,Entry,5,0,1,1,0,0,1,0,0
